t11,t12,t13,t14,t15,t21,t22,t23,t24,t25
未来守护者,狂野女猎手,发条魔灵,涤魂圣枪,扭曲树精,青钢影,腕豪,暗黑元首,残月之肃,仙灵女巫
齐天大圣,狂野女猎手,符文法师,圣枪游侠,曙光女神,雷霆咆哮,法外狂徒,天启者,探险家,弗雷尔卓德之心
天启者,巨魔之王,诡术妖姬,残月之肃,魂锁典狱长,铁铠冥魂,雷霆咆哮,发条魔灵,探险家,曙光女神
未来守护者,狂战士,沙漠皇帝,惩戒之箭,蒸汽机器人,刀锋舞者,雷霆咆哮,暗黑元首,涤魂圣枪,河流之王
暗裔剑魔,盲僧,发条魔灵,残月之肃,深海泰坦,未来守护者,虚空遁地兽,解脱者,探险家,天启者
青钢影,狂战士,诡术妖姬,探险家,魔法猫咪,圣锤之毅,永猎双子,天启者,残月之肃,魂锁典狱长
铁铠冥魂,法外狂徒,未来守护者,探险家,天启者,齐天大圣,永猎双子,万花通灵,寒冰射手,星界游神
荒漠屠夫,狂战士,发条魔灵,涤魂圣枪,魂锁典狱长,齐天大圣,雷霆咆哮,远古恐惧,探险家,曙光女神
未来守护者,雷霆咆哮,沙漠皇帝,残月之肃,深海泰坦,荒漠屠夫,盲僧,暮光星灵,探险家,曙光女神
荒漠屠夫,盲僧,正义巨像,残月之肃,瓦洛兰之盾,铁铠冥魂,虚空遁地兽,诡术妖姬,虚空之女,腕豪
铁铠冥魂,雷霆咆哮,沙漠皇帝,复仇之矛,腕豪,暴怒骑士,时间刺客,不屈之枪,残月之肃,魂锁典狱长
荒漠屠夫,腕豪,大发明家,探险家,星界游神,山隐之焰,巨魔之王,时间刺客,寒冰射手,魂锁典狱长
未来守护者,雷霆咆哮,远古恐惧,探险家,魔法猫咪,齐天大圣,法外狂徒,卡牌大师,寒冰射手,曙光女神
山隐之焰,巨魔之王,暮光星灵,残月之肃,星界游神,荒漠屠夫,狂野女猎手,时间刺客,寒冰射手,弗雷尔卓德之心
荒漠屠夫,狂战士,暮光星灵,残月之肃,弗雷尔卓德之心,齐天大圣,法外狂徒,诡术妖姬,惩戒之箭,曙光女神
铁铠冥魂,雷霆咆哮,沙漠皇帝,残月之肃,腕豪,荒漠屠夫,盲僧,时间刺客,寒冰射手,河流之王
山隐之焰,巨魔之王,沙漠皇帝,战争女神,天启者,齐天大圣,永猎双子,卡牌大师,惩戒之箭,魂锁典狱长
山隐之焰,巨魔之王,暮光星灵,寒冰射手,河流之王,荒漠屠夫,蜘蛛女皇,刀锋舞者,残月之肃,魂锁典狱长
铁铠冥魂,狂战士,暗黑元首,残月之肃,星界游神,无双剑姬,雷霆咆哮,卡牌大师,寒冰射手,腕豪
荒漠屠夫,永猎双子,机械公敌,残月之肃,牛头酋长,山隐之焰,盲僧,诡术妖姬,寒冰射手,幻翎
山隐之焰,盲僧,暮光星灵,寒冰射手,瓦洛兰之盾,铁铠冥魂,狂战士,时间刺客,残月之肃,深海泰坦
青钢影,巨魔之王,正义巨像,复仇之矛,牛头酋长,铁铠冥魂,盲僧,沙漠皇帝,寒冰射手,曙光女神
未来守护者,虚空遁地兽,卡牌大师,残月之肃,深海泰坦,山隐之焰,盲僧,暮光星灵,探险家,腕豪
荒漠屠夫,盲僧,正义巨像,寒冰射手,瓦洛兰之盾,圣锤之毅,酒桶,刀锋舞者,残月之肃,魂锁典狱长
山隐之焰,雷霆咆哮,英勇投弹手,残月之肃,不屈之枪,牧魂人,法外狂徒,冰霜女巫,寒冰射手,天启者
海洋之灾,巨魔之王,发条魔灵,寒冰射手,魂锁典狱长,齐天大圣,雷霆咆哮,卡牌大师,复仇之矛,幻翎
熔岩巨兽,德玛西亚皇子,发条魔灵,残月之肃,魂锁典狱长,齐天大圣,雷霆咆哮,解脱者,寒冰射手,弗雷尔卓德之心
齐天大圣,狂野女猎手,沙漠皇帝,探险家,深海泰坦,海兽祭司,法外狂徒,时间刺客,寒冰射手,荆棘之兴
雷霆咆哮,酒桶,疾风剑豪,探险家,星界游神,武器大师,腕豪,暮光星灵,残月之肃,魂锁典狱长
雷霆咆哮,巨魔之王,英勇投弹手,残月之肃,河流之王,正义天使,盲僧,沙漠皇帝,探险家,曙光女神
山隐之焰,巨魔之王,机械先驱,齐天大圣,涤魂圣枪,正义天使,狂野女猎手,不屈之枪,残月之肃,瓦洛兰之盾
雷霆咆哮,永猎双子,机械公敌,残月之肃,曙光女神,齐天大圣,盲僧,诡术妖姬,寒冰射手,深海泰坦
离群之刺,虚空遁地兽,虚空行者,复仇之矛,深海泰坦,荒漠屠夫,酒桶,沙漠皇帝,残月之肃,魂锁典狱长
圣枪游侠,狂野女猎手,诡术妖姬,残月之肃,星界游神,荒漠屠夫,狂战士,暗黑元首,寒冰射手,弗雷尔卓德之心
铁铠冥魂,虚空遁地兽,沙漠皇帝,残月之肃,魂锁典狱长,山隐之焰,盲僧,诡术妖姬,探险家,深海泰坦
山隐之焰,蜘蛛女皇,未来守护者,虚空之女,魂锁典狱长,暗裔剑魔,法外狂徒,天启者,探险家,弗雷尔卓德之心
机械公敌,盲僧,解脱者,残月之肃,深海泰坦,铁铠冥魂,远古恐惧,永恒梦魇,寒冰射手,魂锁典狱长
铁铠冥魂,雷霆咆哮,发条魔灵,复仇之矛,牛头酋长,正义天使,腕豪,卡牌大师,残月之肃,深海泰坦
山隐之焰,盲僧,诡术妖姬,复仇之矛,弗雷尔卓德之心,雷霆咆哮,法外狂徒,冰霜女巫,虚空之女,牛头酋长
刀锋舞者,虚空遁地兽,暗黑元首,圣枪游侠,弗雷尔卓德之心,暗裔剑魔,狂野女猎手,正义巨像,残月之肃,深海泰坦
齐天大圣,狂战士,冰霜女巫,复仇之矛,深海泰坦,海兽祭司,巨魔之王,诡术妖姬,残月之肃,河流之王
山隐之焰,雷霆咆哮,天启者,残月之肃,河流之王,海洋之灾,狂战士,符文法师,复仇之矛,魂锁典狱长
荒漠屠夫,法外狂徒,沙漠皇帝,赏金猎人,深海泰坦,无双剑姬,德玛西亚皇子,虚空行者,残月之肃,魂锁典狱长
雷霆咆哮,虚空遁地兽,时光守护者,残月之肃,魂锁典狱长,山隐之焰,盲僧,沙漠皇帝,探险家,深海泰坦
铁铠冥魂,法外狂徒,暮光星灵,寒冰射手,深海泰坦,齐天大圣,德玛西亚皇子,暗黑元首,残月之肃,魂锁典狱长
腕豪,法外狂徒,暗黑元首,残月之肃,不屈之枪,未来守护者,德玛西亚皇子,正义巨像,探险家,星界游神
山隐之焰,法外狂徒,暮光星灵,寒冰射手,弗雷尔卓德之心,海洋之灾,雷霆咆哮,卡牌大师,残月之肃,深海泰坦
离群之刺,虚空遁地兽,卡牌大师,残月之肃,魂锁典狱长,铁铠冥魂,盲僧,正义巨像,寒冰射手,曙光女神
铁铠冥魂,雷霆咆哮,圣枪游侠,探险家,星界游神,狂暴之心,狂战士,英勇投弹手,残月之肃,深海泰坦
暗裔剑魔,法外狂徒,卡牌大师,虚空之女,深海泰坦,腕豪,盲僧,暮光星灵,魔蛇之拥,魂锁典狱长
荒漠屠夫,时间刺客,元素女皇,寒冰射手,深海泰坦,雷霆咆哮,法外狂徒,卡牌大师,戏命师,天启者
荒漠屠夫,虚空遁地兽,暗黑元首,寒冰射手,弗雷尔卓德之心,齐天大圣,巨魔之王,天启者,残月之肃,幻翎
暗裔剑魔,巨魔之王,发条魔灵,探险家,魔法猫咪,雷霆咆哮,腕豪,天启者,残月之肃,不屈之枪
荒漠屠夫,酒桶,未来守护者,赏金猎人,血港鬼影,雷霆咆哮,巨魔之王,时间刺客,探险家,魔法猫咪
齐天大圣,盲僧,正义巨像,残月之肃,瓦洛兰之盾,战争之影,狂野女猎手,不屈之枪,复仇之矛,深海泰坦
山隐之焰,狂战士,时间刺客,探险家,曙光女神,圣锤之毅,盲僧,暗黑元首,残月之肃,弗雷尔卓德之心
齐天大圣,法外狂徒,天启者,探险家,弗雷尔卓德之心,荒漠屠夫,狂野女猎手,远古恐惧,寒冰射手,曙光女神
离群之刺,酒桶,刀锋舞者,赏金猎人,腕豪,山隐之焰,巨魔之王,符文法师,残月之肃,不屈之枪
雷霆咆哮,狂野女猎手,暮光星灵,复仇之矛,深海泰坦,山隐之焰,法外狂徒,沙漠皇帝,大发明家,蒸汽机器人
海洋之灾,狂野女猎手,腕豪,虚空之女,不屈之枪,铁铠冥魂,盲僧,深海泰坦,寒冰射手,魂锁典狱长
铁铠冥魂,巨魔之王,发条魔灵,残月之肃,魂锁典狱长,正义天使,雷霆咆哮,卡牌大师,探险家,曙光女神
扭曲树精,盲僧,发条魔灵,残月之肃,深海泰坦,山隐之焰,狂野女猎手,未来守护者,探险家,曙光女神
齐天大圣,盲僧,符文法师,惩戒之箭,魂锁典狱长,铁铠冥魂,巨魔之王,圣枪游侠,天启者,众星之子
无双剑姬,法外狂徒,英勇投弹手,惩戒之箭,天启者,山隐之焰,巨魔之王,发条魔灵,深渊巨口,风暴之怒
山隐之焰,盲僧,沙漠皇帝,涤魂圣枪,天启者,离群之刺,腕豪,虚空行者,寒冰射手,魂锁典狱长
铁铠冥魂,永猎双子,时间刺客,虚空之女,腕豪,荒漠屠夫,法外狂徒,虚空行者,寒冰射手,曙光女神
海洋之灾,巨魔之王,符文法师,惩戒之箭,魂锁典狱长,铁铠冥魂,盲僧,卡牌大师,残月之肃,深海泰坦
齐天大圣,巨魔之王,远古恐惧,探险家,星界游神,海洋之灾,盲僧,冰霜女巫,残月之肃,魂锁典狱长
熔岩巨兽,狂战士,发条魔灵,探险家,魔法猫咪,齐天大圣,永猎双子,仙灵女巫,残月之肃,瓦洛兰之盾
荒漠屠夫,狂野女猎手,暗黑元首,残月之肃,魂锁典狱长,圣锤之毅,法外狂徒,诡术妖姬,探险家,深海泰坦
熔岩巨兽,盲僧,沙漠皇帝,惩戒之箭,天启者,荒漠屠夫,齐天大圣,英勇投弹手,赏金猎人,魔法猫咪
荒漠屠夫,盲僧,英勇投弹手,残月之肃,魂锁典狱长,海洋之灾,不屈之枪,暮光星灵,探险家,弗雷尔卓德之心
猩红收割者,巨魔之王,未来守护者,虚空之女,深海泰坦,海洋之灾,雪原双子,腕豪,复仇之矛,曙光女神
荒漠屠夫,巨魔之王,卡牌大师,残月之肃,弗雷尔卓德之心,腕豪,德玛西亚皇子,爆破鬼才,赏金猎人,魔法猫咪
荒漠屠夫,巨魔之王,诡术妖姬,残月之肃,暮光之眼,雷霆咆哮,法外狂徒,正义巨像,寒冰射手,曙光女神
海洋之灾,腕豪,发条魔灵,惩戒之箭,深海泰坦,熔岩巨兽,雷霆咆哮,诡术妖姬,残月之肃,曙光女神
荒漠屠夫,巨魔之王,英勇投弹手,暗黑元首,涤魂圣枪,齐天大圣,酒桶,时间刺客,探险家,弗雷尔卓德之心
雷霆咆哮,法外狂徒,符文法师,涤魂圣枪,齐天大圣,山隐之焰,巨魔之王,沙漠皇帝,惩戒之箭,仙灵女巫
荒漠屠夫,狂战士,天启者,残月之肃,深海泰坦,青钢影,盲僧,卡牌大师,惩戒之箭,腕豪
雷霆咆哮,法外狂徒,暮光星灵,残月之肃,深海泰坦,正义天使,腕豪,卡牌大师,复仇之矛,魂锁典狱长
雷霆咆哮,腕豪,诡术妖姬,复仇之矛,蒸汽机器人,暗裔剑魔,盲僧,暮光星灵,残月之肃,魂锁典狱长
未来守护者,巨魔之王,符文法师,涤魂圣枪,深海泰坦,雷霆咆哮,盲僧,机械先驱,寒冰射手,弗雷尔卓德之心
齐天大圣,雷霆咆哮,魔蛇之拥,战争女神,魂锁典狱长,铁铠冥魂,狂战士,符文法师,赏金猎人,天启者
齐天大圣,巨魔之王,机械公敌,探险家,曙光女神,荒漠屠夫,虚空遁地兽,虚空行者,残月之肃,深海泰坦
解脱者,巨魔之王,发条魔灵,寒冰射手,魂锁典狱长,山隐之焰,法外狂徒,暮光星灵,探险家,曙光女神
铁铠冥魂,虚空遁地兽,暗黑元首,残月之肃,仙灵女巫,山隐之焰,巨魔之王,岩雀,寒冰射手,弗雷尔卓德之心
亡灵战神,龙血武姬,腕豪,虚空之女,深海泰坦,诺克萨斯之手,狂野女猎手,机械公敌,寒冰射手,河流之王
暗裔剑魔,巨魔之王,虚空先知,探险家,河流之王,荒漠屠夫,狂野女猎手,卡牌大师,残月之肃,曙光女神
齐天大圣,巨魔之王,机械先驱,复仇之矛,魂锁典狱长,武器大师,狂战士,诡术妖姬,探险家,魔法猫咪
荒漠屠夫,盲僧,卡牌大师,残月之肃,曙光女神,海洋之灾,巨魔之王,暮光星灵,寒冰射手,腕豪
齐天大圣,巨魔之王,时间刺客,虚空之女,深海泰坦,诺克萨斯之手,狂野女猎手,机械公敌,寒冰射手,瓦洛兰之盾
山隐之焰,法外狂徒,正义巨像,寒冰射手,曙光女神,正义天使,雷霆咆哮,元素女皇,探险家,星界游神
战争之影,巨魔之王,发条魔灵,寒冰射手,弗雷尔卓德之心,齐天大圣,狂野女猎手,时间刺客,逆羽,幻翎
荒漠屠夫,虚空遁地兽,皎月女神,残月之肃,魂锁典狱长,齐天大圣,法外狂徒,天启者,虚空之女,深海泰坦
未来守护者,狂战士,虚空行者,虚空之女,魂锁典狱长,海洋之灾,腕豪,诡术妖姬,残月之肃,曙光女神
齐天大圣,盲僧,魔蛇之拥,残月之肃,深海泰坦,铁铠冥魂,巨魔之王,沙漠皇帝,赏金猎人,曙光女神
齐天大圣,虚空遁地兽,诡术妖姬,惩戒之箭,弗雷尔卓德之心,荒漠屠夫,时间刺客,圣枪游侠,战争女神,深海泰坦
雷霆咆哮,法外狂徒,机械公敌,寒冰射手,深海泰坦,齐天大圣,巨魔之王,暗黑元首,探险家,星界游神
荒漠屠夫,巨魔之王,暮光星灵,残月之肃,深海泰坦,天启者,盲僧,卡牌大师,探险家,河流之王
暗裔剑魔,法外狂徒,暮光星灵,探险家,唤潮鲛姬,青钢影,盲僧,诡术妖姬,残月之肃,深海泰坦
迷失之牙,巨魔之王,暗黑元首,残月之肃,深海泰坦,雷霆咆哮,法外狂徒,诡术妖姬,寒冰射手,腕豪
铁铠冥魂,虚空遁地兽,发条魔灵,残月之肃,魂锁典狱长,无双剑姬,永猎双子,天启者,复仇之矛,腕豪
暴怒骑士,狂野女猎手,解脱者,探险家,星界游神,山隐之焰,狂战士,离群之刺,残月之肃,魔法猫咪
荒漠屠夫,蜘蛛女皇,暮光星灵,残月之肃,深海泰坦,山隐之焰,虚空遁地兽,解脱者,寒冰射手,魂锁典狱长
齐天大圣,法外狂徒,卡牌大师,赏金猎人,魔法猫咪,亡灵战神,盲僧,暮光星灵,探险家,仙灵女巫
雷霆咆哮,法外狂徒,发条魔灵,残月之肃,曙光女神,山隐之焰,巨魔之王,暮光星灵,复仇之矛,深海泰坦
迷失之牙,巨魔之王,诡术妖姬,残月之肃,深海泰坦,雷霆咆哮,永猎双子,暗黑元首,寒冰射手,魂锁典狱长
山隐之焰,酒桶,发条魔灵,探险家,星界游神,暗裔剑魔,雷霆咆哮,沙漠皇帝,复仇之矛,曙光女神
暗裔剑魔,巨魔之王,暗黑元首,寒冰射手,深海泰坦,荒漠屠夫,虚空遁地兽,诡术妖姬,虚空之女,魂锁典狱长
荒漠屠夫,酒桶,暗黑元首,残月之肃,魂锁典狱长,雷霆咆哮,巨魔之王,暮光星灵,探险家,曙光女神
海洋之灾,远古恐惧,未来守护者,复仇之矛,深海泰坦,山隐之焰,酒桶,发条魔灵,惩戒之箭,河流之王
雷霆咆哮,盲僧,发条魔灵,残月之肃,曙光女神,铁铠冥魂,虚空掠夺者,天启者,探险家,河流之王
荒漠屠夫,狂野女猎手,暗黑元首,涤魂圣枪,不屈之枪,山隐之焰,法外狂徒,机械公敌,探险家,天启者
无畏战车,虚空遁地兽,暗黑元首,虚空之女,深海泰坦,齐天大圣,盲僧,正义巨像,探险家,曙光女神
雷霆咆哮,盲僧,暮光星灵,寒冰射手,瓦洛兰之盾,山隐之焰,虚空掠夺者,天启者,复仇之矛,深海泰坦
未来守护者,时间刺客,不屈之枪,残月之肃,深海泰坦,山隐之焰,盲僧,诡术妖姬,探险家,曙光女神
铁铠冥魂,德玛西亚皇子,卡牌大师,寒冰射手,魂锁典狱长,荒漠屠夫,巨魔之王,天启者,残月之肃,深海泰坦
熔岩巨兽,法外狂徒,暮光星灵,残月之肃,魂锁典狱长,齐天大圣,雷霆咆哮,九尾妖狐,探险家,星界游神
腕豪,巨魔之王,沙漠皇帝,涤魂圣枪,齐天大圣,德玛西亚之翼,雷霆咆哮,诡术妖姬,残月之肃,深海泰坦
海洋之灾,虚空遁地兽,发条魔灵,复仇之矛,蒸汽机器人,暗裔剑魔,盲僧,英勇投弹手,寒冰射手,魂锁典狱长
山隐之焰,法外狂徒,暮光星灵,残月之肃,瓦洛兰之盾,齐天大圣,德玛西亚皇子,正义巨像,复仇之矛,魂锁典狱长
青钢影,德玛西亚皇子,正义巨像,残月之肃,曙光女神,铁铠冥魂,巨魔之王,暮光星灵,探险家,不屈之枪
荒漠屠夫,狂野女猎手,沙漠皇帝,涤魂圣枪,腕豪,山隐之焰,法外狂徒,暗黑元首,探险家,酒桶
荒漠屠夫,影流之镰,英勇投弹手,逆羽,幻翎,铁铠冥魂,巨魔之王,暮光星灵,赏金猎人,魂锁典狱长
齐天大圣,盲僧,暗黑元首,寒冰射手,河流之王,无畏战车,巨魔之王,卡牌大师,残月之肃,深海泰坦
暗裔剑魔,盲僧,暮光星灵,寒冰射手,天启者,海洋之灾,雷霆咆哮,发条魔灵,探险家,弗雷尔卓德之心
武器大师,巨魔之王,暮光星灵,寒冰射手,魂锁典狱长,齐天大圣,盲僧,暗黑元首,残月之肃,深海泰坦
山隐之焰,巨魔之王,魔蛇之拥,探险家,天启者,雷霆咆哮,狂野女猎手,暮光星灵,复仇之矛,魂锁典狱长
雷霆咆哮,盲僧,暗黑元首,复仇之矛,腕豪,迷失之牙,法外狂徒,天启者,寒冰射手,弗雷尔卓德之心
狂战士,龙血武姬,腕豪,探险家,深海泰坦,武器大师,德玛西亚皇子,英勇投弹手,残月之肃,魂锁典狱长
青钢影,盲僧,英勇投弹手,探险家,曙光女神,暗裔剑魔,虚空遁地兽,解脱者,惩戒之箭,魂锁典狱长
狂暴之心,巨魔之王,正义巨像,残月之肃,腕豪,天启者,盲僧,暮光星灵,赏金猎人,曙光女神
暗黑元首,狂野女猎手,腕豪,荣耀行刑官,魂锁典狱长,山隐之焰,时间刺客,影流之主,残月之肃,深海泰坦
圣锤之毅,时间刺客,荒漠屠夫,探险家,深海泰坦,雷霆咆哮,永猎双子,暮光星灵,残月之肃,腕豪
铁铠冥魂,法外狂徒,堕落天使,寒冰射手,天启者,荒漠屠夫,雷霆咆哮,卡牌大师,残月之肃,星界游神
雷霆咆哮,时间刺客,荒漠屠夫,虚空之女,深海泰坦,山隐之焰,解脱者,腕豪,残月之肃,曙光女神
狂暴之心,法外狂徒,离群之刺,残月之肃,腕豪,荒漠屠夫,狂野女猎手,元素女皇,惩戒之箭,弗雷尔卓德之心
海洋之灾,狂战士,发条魔灵,探险家,幻翎,山隐之焰,法外狂徒,卡牌大师,寒冰射手,弗雷尔卓德之心
铁铠冥魂,巨魔之王,诡术妖姬,惩戒之箭,天启者,暗裔剑魔,狂野女猎手,暗黑元首,探险家,腕豪
荒漠屠夫,巨魔之王,机械公敌,涤魂圣枪,齐天大圣,迷失之牙,盲僧,发条魔灵,残月之肃,魂锁典狱长
武器大师,巨魔之王,正义巨像,寒冰射手,星界游神,齐天大圣,永猎双子,暗黑元首,赏金猎人,深海泰坦
雷霆咆哮,法外狂徒,发条魔灵,残月之肃,深海泰坦,暗裔剑魔,时间刺客,天启者,荣耀行刑官,魂锁典狱长
腕豪,雷霆咆哮,发条魔灵,惩戒之箭,涤魂圣枪,山隐之焰,狂战士,深渊巨口,探险家,魔法猫咪
齐天大圣,解脱者,未来守护者,探险家,腕豪,熔岩巨兽,狂野女猎手,冰霜女巫,荣耀行刑官,魂锁典狱长
荒漠屠夫,盲僧,正义巨像,虚空之女,深海泰坦,圣锤之毅,解脱者,暗黑元首,复仇之矛,魂锁典狱长
狂暴之心,狂战士,解脱者,残月之肃,深海泰坦,天启者,盲僧,卡牌大师,惩戒之箭,曙光女神
山隐之焰,盲僧,沙漠皇帝,残月之肃,魂锁典狱长,熔岩巨兽,法外狂徒,发条魔灵,寒冰射手,天启者
武器大师,盲僧,正义巨像,战争女神,天启者,圣锤之毅,虚空遁地兽,英勇投弹手,探险家,腕豪
荒漠屠夫,雷霆咆哮,发条魔灵,寒冰射手,星界游神,齐天大圣,狂野女猎手,诡术妖姬,探险家,腕豪
武器大师,雷霆咆哮,发条魔灵,虚空之女,深海泰坦,齐天大圣,法外狂徒,暗黑元首,探险家,弗雷尔卓德之心
山隐之焰,巨魔之王,仙灵女巫,残月之肃,魔法猫咪,腕豪,远古恐惧,未来守护者,探险家,星界游神
荒漠屠夫,盲僧,暮光星灵,寒冰射手,魂锁典狱长,雷霆咆哮,虚空掠夺者,暗黑元首,复仇之矛,深海泰坦
腕豪,雷霆咆哮,暮光星灵,探险家,曙光女神,无双剑姬,不屈之枪,虚空之眼,赏金猎人,深海泰坦
铁铠冥魂,法外狂徒,暮光星灵,残月之肃,深海泰坦,山隐之焰,雷霆咆哮,暗黑元首,寒冰射手,曙光女神
未来守护者,巨魔之王,离群之刺,残月之肃,曙光女神,机械公敌,虚空遁地兽,暗黑元首,赏金猎人,深海泰坦
齐天大圣,永恒梦魇,发条魔灵,复仇之矛,幻翎,武器大师,狂战士,天启者,残月之肃,河流之王
铁铠冥魂,盲僧,万花通灵,复仇之矛,深海泰坦,齐天大圣,巨魔之王,解脱者,探险家,星界游神
未来守护者,巨魔之王,离群之刺,涤魂圣枪,扭曲树精,齐天大圣,狂野女猎手,沙漠皇帝,寒冰射手,天启者
齐天大圣,永猎双子,暮光星灵,虚空之女,血港鬼影,荒漠屠夫,时间刺客,腕豪,探险家,幻翎
齐天大圣,盲僧,沙漠皇帝,寒冰射手,弗雷尔卓德之心,雷霆咆哮,狂战士,正义巨像,虚空之女,魂锁典狱长
山隐之焰,盲僧,发条魔灵,残月之肃,腕豪,荒漠屠夫,法外狂徒,魔蛇之拥,惩戒之箭,魂锁典狱长
迷失之牙,盲僧,暮光星灵,残月之肃,魂锁典狱长,雷霆咆哮,法外狂徒,离群之刺,爆破鬼才,深海泰坦
暗裔剑魔,巨魔之王,冰霜女巫,残月之肃,魂锁典狱长,铁铠冥魂,盲僧,诡术妖姬,探险家,深海泰坦
迷失之牙,狂野女猎手,未来守护者,复仇之矛,深海泰坦,荒漠屠夫,岩雀,永恒梦魇,惩戒之箭,弗雷尔卓德之心
暗裔剑魔,法外狂徒,解脱者,残月之肃,魂锁典狱长,荒漠屠夫,时间刺客,不屈之枪,惩戒之箭,河流之王
铁铠冥魂,德玛西亚皇子,正义巨像,复仇之矛,瓦洛兰之盾,腕豪,巨魔之王,虚空行者,涤魂圣枪,扭曲树精
狂暴之心,巨魔之王,诡术妖姬,探险家,弗雷尔卓德之心,解脱者,盲僧,暗黑元首,惩戒之箭,魂锁典狱长
熔岩巨兽,巨魔之王,时间刺客,残月之肃,星界游神,齐天大圣,雷霆咆哮,暗黑元首,寒冰射手,弗雷尔卓德之心
铁铠冥魂,盲僧,正义巨像,残月之肃,深海泰坦,山隐之焰,法外狂徒,暮光星灵,寒冰射手,曙光女神
雷霆咆哮,盲僧,正义巨像,探险家,深海泰坦,山隐之焰,法外狂徒,发条魔灵,复仇之矛,腕豪
暗裔剑魔,法外狂徒,冰霜女巫,残月之肃,深海泰坦,未来守护者,狂野女猎手,腕豪,复仇之矛,曙光女神
荒漠屠夫,影流之镰,卡牌大师,复仇之矛,魂锁典狱长,雷霆咆哮,巨魔之王,暮光星灵,残月之肃,星界游神
雷霆咆哮,法外狂徒,正义巨像,虚空之女,深海泰坦,荒漠屠夫,巨魔之王,暗黑元首,探险家,曙光女神
腕豪,虚空遁地兽,诡术妖姬,探险家,深海泰坦,齐天大圣,盲僧,冰霜女巫,残月之肃,星界游神
扭曲树精,巨魔之王,发条魔灵,探险家,武器大师,青钢影,雷霆咆哮,卡牌大师,残月之肃,深海泰坦
铁铠冥魂,巨魔之王,发条魔灵,残月之肃,深海泰坦,荒漠屠夫,蜘蛛女皇,猩红收割者,寒冰射手,魂锁典狱长
雷霆咆哮,虚空遁地兽,英勇投弹手,赏金猎人,魂锁典狱长,迷失之牙,盲僧,沙漠皇帝,残月之肃,深海泰坦
雷霆咆哮,德玛西亚皇子,正义巨像,探险家,河流之王,铁铠冥魂,盲僧,虚空行者,残月之肃,曙光女神
齐天大圣,法外狂徒,暗黑元首,残月之肃,腕豪,铁铠冥魂,巨魔之王,发条魔灵,寒冰射手,深海泰坦
雷霆咆哮,法外狂徒,卡牌大师,残月之肃,魂锁典狱长,山隐之焰,巨魔之王,机械公敌,探险家,曙光女神
暗裔剑魔,狂野女猎手,腕豪,探险家,深海泰坦,亡灵战神,巨魔之王,时间刺客,残月之肃,魂锁典狱长
暗裔剑魔,法外狂徒,暮光星灵,寒冰射手,弗雷尔卓德之心,铁铠冥魂,巨魔之王,虚空行者,残月之肃,魂锁典狱长
雷霆咆哮,巨魔之王,暗黑元首,残月之肃,曙光女神,荒漠屠夫,时间刺客,未来守护者,探险家,深海泰坦
荒漠屠夫,法外狂徒,暮光星灵,探险家,天启者,迷失之牙,狂战士,虚空行者,寒冰射手,曙光女神
雷霆咆哮,法外狂徒,暮光星灵,探险家,弗雷尔卓德之心,荒漠屠夫,狂野女猎手,麦林炮手,残月之肃,深海泰坦
雷霆咆哮,法外狂徒,卡牌大师,探险家,曙光女神,铁铠冥魂,盲僧,暮光星灵,寒冰射手,深海泰坦
雷霆咆哮,盲僧,魔蛇之拥,寒冰射手,弗雷尔卓德之心,迷失之牙,虚空遁地兽,沙漠皇帝,虚空之女,深海泰坦
武器大师,法外狂徒,发条魔灵,残月之肃,弗雷尔卓德之心,齐天大圣,狂野女猎手,符文法师,虚空之女,深海泰坦
